URL,user_screenname
https://t.co/go7ywuSifR,c238e05d32af2a14
https://t.co/dLNz3tx2kq,6cdf149de00f87aa
https://t.co/lt9oipk2wV,bbe6190f8797f5f2
https://t.co/Zf1GPwUIQC,11d29a79a8e08a17
https://t.co/rhQKltP5Pc,7bdc02070d379319
https://t.co/5B0xVlg9qU,ab1f40330568450a
https://t.co/96flST5v4p,4d177e6059e6c4e3
https://t.co/U0ZrFcnMFB,8707f641f3425ade
https://t.co/mja7POU0PT,d5e893a5217b7a78
https://t.co/IxyT6Ialj1,489d04915c936c45
https://t.co/bZZA4bh4N6,8c6d35c96b72fd28
https://t.co/irk2971RYw,859322367656453b
https://t.co/gWho4RL92O,b0425b02ddf68a81
https://t.co/J8TkQ3ABqY,8c6d35c96b72fd2e
https://t.co/8L5LrdX1Y1,61af216067df26cc
https://t.co/3U411I9c6w,48d45ed778bb84e6
https://t.co/WZHOO6QycV,47f28954d20945b8
https://t.co/76BGgA2kZ3,cbd544f506404836
https://t.co/4uMrSgzZkK,84f4c262fa8afb1f
https://t.co/Gj6spd7Em5,131500db94009ac1
https://t.co/WESrw9qgfR,67185e2304301009
https://t.co/vGZ1BdrwzN,2b6f8c3b778d8c62
https://t.co/HrdWQESndr,4a345f575005d01e
https://t.co/nEHUETbHwx,d6707b873833c0a8
https://t.co/DsP3o4NMCM,c1b439b164d8bedb
https://t.co/dODcScrGV8,ff5c75db6ff943d5
https://t.co/zQoePdOHs3,2a01ed62510a9450
https://t.co/G39CaJtIZk,84f1124e0adbd5dd
https://t.co/6tygeoYWEN,fcfd97b6aa38b124
https://t.co/v44vFxnX0X,8f22bf3145ef349c
https://t.co/PjX4NZWDSv,1632e4a515c20a5f
https://t.co/KNbjcdFbKM,b99ef5729329fadd
https://t.co/Do3zevihAI,848b1f9a2789812b
https://t.co/v6tA9b0o2B,cfac45cf743c9a58
https://t.co/Ga1gQ25WXA,57596eb6fb0b2aa6
https://t.co/xFMuPcOy2N,9b2fbf28e39f14db
https://t.co/EMPEuC8hXu,9b2fbf28e39f14we
